Index	X	Acquisition
335	3.84529934097137	298
336	3.87561799854349	271
337	3.90593666775201	256
338	3.93625534868797	261
339	3.96657404144241	244
340	3.99689274610634	236
341	4.02721146277081	263
342	4.05753019152684	253
343	4.08784893246546	278
344	4.11816768567771	292
345	4.14848645125462	268
346	4.17880522928723	278
347	4.20912401986655	258
348	4.23944282308363	263
349	4.26976163902949	265
350	4.30008046779517	296
351	4.3303993094717	284
352	4.3607181641501	261
353	4.39103703192142	257
354	4.42135591287668	269
355	4.45167480710692	296
356	4.48199371470316	277
357	4.51231263575644	281
358	4.54263157035779	246
359	4.57295051859824	278
360	4.60326948056883	275
361	4.63358845636057	283
362	4.66390744606452	247
363	4.69422644977169	248
364	4.72454546757311	264
365	4.75486449955983	280
366	4.78518354582287	267
367	4.81550260645327	235
368	4.84582168154205	236
369	4.87614077118024	238
370	4.90645987545889	263
371	4.93677899446901	293
372	4.96709812830165	267
373	4.99741727704783	236
374	5.02773644079858	245
375	5.05805561964494	249
376	5.08837481367793	252
377	5.1186940229886	266
378	5.14901324766797	260
379	5.17933248780707	284
380	5.20965174349693	264
381	5.23997101482859	301
382	5.27029030189308	273
383	5.30060960478142	242
384	5.33092892358465	247
385	5.36124825839381	269
386	5.39156760929992	262
387	5.42188697639402	287
388	5.45220635976713	269
389	5.48252575951029	254
390	5.51284517571453	261
391	5.54316460847088	252
392	5.57348405787037	261
393	5.60380352400404	236
394	5.63412300696292	258
395	5.66444250683803	267
396	5.69476202372041	258
397	5.72508155770109	282
398	5.75540110887111	285
399	5.78572067732149	277
400	5.81604026314326	270
401	5.84635986642746	249
402	5.87667948726512	254
403	5.90699912574727	280
404	5.93731878196494	271
405	5.96763845600917	242
406	5.99795814797098	260
407	6.02827785794141	270
408	6.05859758601148	283
409	6.08891733227223	270
410	6.1192370968147	275
411	6.14955687972991	281
412	6.17987668110889	300
413	6.21019650104268	284
414	6.24051633962231	292
415	6.27083619693881	283
416	6.3011560730832	291
417	6.33147596814653	234
418	6.36179588221982	264
419	6.39211581539411	248
420	6.42243576776043	280
421	6.4527557394098	255
422	6.48307573043327	283
423	6.51339574092185	273
424	6.54371577096659	272
425	6.57403582065852	239
426	6.60435589008866	262
427	6.63467597934805	265
428	6.66499608852772	273
429	6.6953162177187	260
430	6.72563636701202	265
431	6.75595653649872	298
432	6.78627672626982	273
433	6.81659693641636	280
434	6.84691716702937	273
435	6.87723741819988	300
436	6.90755769001892	252
437	6.93787798257753	268
438	6.96819829596673	259
439	6.99851863027756	259
440	7.02883898560105	257
441	7.05915936202823	265
442	7.08947975965013	272
443	7.11980017855778	272
444	7.15012061884222	253
445	7.18044108059447	273
446	7.21076156390557	252
447	7.24108206886655	296
448	7.27140259556845	283
449	7.30172314410228	259
450	7.33204371455909	291
451	7.36236430702991	282
452	7.39268492160576	262
453	7.42300555837769	293
454	7.45332621743671	272
455	7.48364689887387	288
456	7.51396760278018	261
457	7.5442883292467	291
458	7.57460907836444	268
459	7.60492985022444	293
460	7.63525064491773	280
461	7.66557146253535	269
462	7.69589230316831	259
463	7.72621316690766	260
464	7.75653405384443	287
465	7.78685496406964	302
466	7.81717589767433	256
467	7.84749685474954	250
468	7.87781783538628	284
469	7.90813883967561	277
470	7.93845986770854	285
471	7.9687809195761	258
472	7.99910199536933	270
473	8.02942309517927	273
474	8.05974421909694	290
475	8.09006536721337	309
476	8.1203865396196	287
477	8.15070773640665	267
478	8.18102895766556	229
479	8.21135020348736	262
480	8.24167147396309	305
481	8.27199276918376	270
482	8.30231408924042	265
483	8.3326354342241	271
484	8.36295680422583	251
485	8.39327819933663	272
486	8.42359961964755	282
487	8.45392106524961	299
488	8.48424253623384	252
489	8.51456403269128	288
490	8.54488555471296	286
491	8.5752071023899	255
492	8.60552867581315	287
493	8.63585027507373	283
494	8.66617190026267	321
495	8.69649355147101	271
496	8.72681522878977	292
497	8.75713693230999	303
498	8.78745866212271	288
499	8.81778041831894	265
500	8.84810220098973	302
501	8.8784240102261	308
502	8.90874584611909	291
503	8.93906770875972	319
504	8.96938959823904	317
505	8.99971151464807	293
506	9.03003345807783	294
507	9.06035542861938	344
508	9.09067742636373	311
509	9.12099945140192	328
510	9.15132150382497	326
511	9.18164358372393	281
512	9.21196569118982	342
513	9.24228782631367	308
514	9.27260998918652	312
515	9.30293217989939	318
516	9.33325439854332	278
517	9.36357664520934	304
518	9.39389891998849	313
519	9.42422122297179	299
