Index	X	Acquisition
772	17.0969187249144	535
773	17.1272511398102	548
774	17.1575836061232	554
775	17.1879161239444	633
776	17.2182486933649	535
777	17.2485813144757	588
778	17.2789139873679	568
779	17.3092467121324	586
780	17.3395794888602	596
781	17.3699123176426	562
782	17.4002451985703	578
783	17.4305781317346	579
784	17.4609111172264	583
785	17.4912441551367	565
786	17.5215772455567	581
787	17.5519103885772	601
788	17.5822435842894	568
789	17.6125768327842	567
790	17.6429101341528	553
791	17.6732434884861	599
792	17.7035768958752	564
793	17.7339103564111	596
794	17.7642438701848	564
795	17.7945774372875	575
796	17.8249110578099	545
797	17.8552447318434	545
798	17.8855784594788	565
799	17.9159122408072	571
800	17.9462460759196	584
801	17.976579964907	591
802	18.0069139078606	615
803	18.0372479048713	586
804	18.0675819560301	608
805	18.0979160614281	595
806	18.1282502211564	593
807	18.1585844353059	606
808	18.1889187039676	620
809	18.2192530272327	589
810	18.2495874051921	561
811	18.2799218379369	603
812	18.3102563255581	621
813	18.3405908681467	578
814	18.3709254657938	585
815	18.4012601185904	612
816	18.4315948266275	533
817	18.4619295899962	579
818	18.4922644087875	615
819	18.5225992830924	606
820	18.552934213002	623
821	18.5832691986072	644
822	18.6136042399992	603
823	18.6439393372689	619
824	18.6742744905075	597
825	18.7046096998058	617
826	18.734944965255	626
827	18.765280286946	642
828	18.79561566497	606
829	18.8259510994179	680
830	18.8562865903808	609
831	18.8866221379497	607
832	18.9169577422156	622
833	18.9472934032696	622
834	18.9776291212027	604
835	19.0079648961059	627
836	19.0383007280703	645
837	19.0686366171868	631
838	19.0989725635466	613
839	19.1293085672407	625
840	19.1596446283601	638
841	19.1899807469957	597
842	19.2203169232388	578
843	19.2506531571802	591
844	19.280989448911	595
845	19.3113257985223	665
846	19.341662206105	650
847	19.3719986717503	569
848	19.4023351955491	669
849	19.4326717775925	624
850	19.4630084179714	628
851	19.493345116777	634
852	19.5236818741003	654
853	19.5540186900323	692
854	19.584355564664	657
855	19.6146924980865	634
856	19.6450294903908	663
857	19.6753665416679	572
858	19.7057036520088	640
859	19.7360408215047	666
860	19.7663780502464	642
861	19.7967153383252	665
862	19.8270526858319	689
863	19.8573900928576	664
864	19.8877275594933	618
865	19.9180650858302	623
866	19.9484026719591	648
867	19.9787403179712	678
868	20.0090780239575	642
869	20.039415790009	615
870	20.0697536162167	657
871	20.1000915026717	692
872	20.1304294494649	663
873	20.1607674566876	662
874	20.1911055244305	645
875	20.2214436527849	666
876	20.2517818418417	688
877	20.2821200916919	612
878	20.3124584024267	643
879	20.3427967741369	674
880	20.3731352069137	704
881	20.4034737008481	721
882	20.4338122560311	659
883	20.4641508725538	649
884	20.4944895505071	655
885	20.5248282899822	666
886	20.55516709107	667
887	20.5855059538615	674
888	20.6158448784479	700
889	20.6461838649201	685
890	20.6765229133692	663
891	20.7068620238861	679
892	20.737201196562	669
893	20.7675404314879	695
894	20.7978797287548	687
895	20.8282190884536	681
896	20.8585585106756	666
897	20.8888979955116	687
898	20.9192375430528	721
899	20.9495771533901	693
900	20.9799168266145	655
901	21.0102565628172	743
902	21.0405963620892	712
903	21.0709362245214	651
904	21.101276150205	730
905	21.1316161392308	704
906	21.1619561916901	739
907	21.1922963076737	731
908	21.2226364872728	686
909	21.2529767305784	653
910	21.2833170376815	702
911	21.3136574086731	748
912	21.3439978436442	756
913	21.374338342686	710
914	21.4046789058893	715
915	21.4350195333454	724
916	21.4653602251451	695
917	21.4957009813795	696
918	21.5260418021397	709
919	21.5563826875167	719
920	21.5867236376015	708
921	21.6170646524851	700
922	21.6474057322586	721
923	21.6777468770131	733
